stop_id,stop_name,stop_lat,stop_lon
0100RYA,Rumenye,-1.199644804,36.75815105
0100SLG,Slaughter/Bypass,-1.20578,36.78005
0100S/R,Rosslyn Road/Riviera,-1.217128962,36.80043072
0100STI,Site,-1.178033084,36.7224589
0100TCP,Total/City Park,-1.25943,36.82673
0100TOR,Metro,-1.215183198,36.85956538
0100TPS,Post,-1.149687499,36.94552481
0100UBP,Bumps,-1.206464499,36.78183764
0100UEA,Delta Petrol Station Ruaka/Border,-1.208792657,36.78792626
0100UMT,Makutano,-1.192345351,36.74523085
0100VLU,6th Parklands Avenue/Regal House/Kobil,-1.257893175,36.8269524
0100XAM,Maxx,-1.182002753,36.72858506
0101AGA,Aga Khan Academy,-1.26628,36.82331
0101AKN,Kwa Nyama,-1.204490429,36.78601921
0101AME,Ambassadors Entrance,-1.19804,36.75538
0101ARC,Car Wash,-1.204839116,36.78251624
0101BKH,Bypass Stage Kiambu,-1.215448,36.83521
0101BLU,Blue Kiosk Stage,-1.154688,36.675681
0101CEF,Kwa Chief,-1.216447681,36.8218857
0101CHC,Christco Church,-1.19628,36.75294
0101CPK,City Park,-1.26057,36.82615
0101DGG,Ridgesways Girls,-1.215046,36.864683
0101DPB,Delta Petrol Station/Border,-1.20918,36.7882
0101ETA,Marrieta,-1.143779,36.661749
0101FRK,Furaha/Kag Ndenderu/Catholic,-1.1954,36.75175
0101GRJ,Gacharage Junction,-1.20041,36.76058
0101IAI,Gwaiti,-1.18060112,36.7263186
0101IGA,Kahigo,-1.203356981,36.77130997
0101ION,Junction To Limuru Town,-1.133245,36.643564
0101JHS,Jamhuri High School,-1.27335,36.82297
0101JLI,Jua Kali,-1.211161,36.874486
0101KHR,Kahawa Railways Roundabout,-1.185664,36.906667
0101KTO,Kwa Moturi/Gachiraini,-1.20202,36.7662
0101MCY,Mothers Mercys,-1.180059,36.725487
0101MIM,Mimosa,-1.212005,36.804767
0101M.K,K.M.,-1.16617772,36.91985339
0101NRP,Roundabout Eastern Bypass,-1.155165,36.926129
0101OOO,Githogoro,-1.216517419,36.82500243
0101PMR,Pm Flats/ Runda View,-1.20429,36.77439
0101PMV,Pm Flats/ Runda View 2,-1.20369,36.77218
0101RCC,Ruaka Catholic Church,-1.2062,36.78055
0101RCK,Ruaka ACK Church,-1.20676,36.78382
0101RDC,Ruaka DC,-1.2065,36.78171
0101RED,Red Hill/Posta,-1.17081,36.708554
0101REE,Runda Estate Entrance,-1.2186,36.80168
0101REN,Redeemed Ndenderu,-1.19238,36.74504
0101RIE,Limuru Diaries,-1.125841,36.642507
0101RJI,Ruiru Road Junction,-1.152135,36.91984
0101RMY,Rumenye,-1.19961,36.75794
0101ROK,Rosslyn Road/Karura Community Chapel,-1.216499805,36.79930687
0101ROR,Rosslyn Road/Riviera,-1.217250824,36.80042267
0101RUA,Marurui,-1.210805833,36.8751812
0101RUD,Runda Road,-1.215523,36.815038
0101SHR,Shakers/Rosslyn Gate,-1.21115,36.79024
0101SLT,Slaughter,-1.20523,36.77754
0101STP,Stima Plaza,-1.27043,36.82048
0101WBR,Wambugu Road,-1.26799,36.82127
0101WID,Windsor Advice,-1.215566,36.850327
0110ACG,Gachie,-1.181385845,36.7275551
0110AGK,Aga Khan Academy,-1.266404986,36.82319462
0110AOA,Mwambao,-1.256713003,36.82633013
0110AOH,Mama Shop,-1.1517528,36.93119645
0110AST,Ambassadors Stage,-1.19864,36.75634
0110AUK,Karura,-1.24724865,36.81577563
0110BUK,Kabuku Junction Stage,-1.150767,36.668272
0110COH,Gacharage Junction - Gachiraini Stage,-1.200470924,36.76059455
0110DAS,Ridgeways Girls,-1.214993119,36.86438799
0110FRM,Muguku Farm,-1.17646,36.718384
0110GAC,Gacharage,-1.192978352,36.74807936
0110IRT,Ngara,-1.274190277,36.82365865
0110ISR,Ruiru Prisons,-1.151870817,36.92952543
0110KAU,Kianjogu Stage,-1.180979,36.727015
0110LAR,Rosslyn Riviera,-1.215369433,36.79668099
0110LCM,Decimal,-1.203015178,36.76999301
0110LHL,Full Gospel Church,-1.151017874,36.93746209
0110LJA,Joyland,-1.204860538,36.77656978
0110MTS,Muthaiga Shopping Centre,-1.250537038,36.81984186
0110NSG,Ndenderu Stage,-1.1926,36.74685
0110OLB,Blue Kiosk,-1.154766083,36.67294264
0110OVL,3rd Parklands Avenue/Aga Kan Hospital Junction,-1.2632415,36.82506412
0110PMT,Pm Flats,-1.20375,36.77257
0110REV,Two Rivers,-1.212894917,36.79242432
0110RID,Windsor Advice,-1.215743423,36.84993625
0110RTC,Ruaka Quickmart,-1.206689805,36.78235799
0110SOI,Mimosa,-1.212091684,36.8047142
0110SPU,St. Paul's University Limuru,-1.147694,36.665794
0110SRT,Marurui Police Post,-1.214639872,36.86785609
0110TOH,Githogoro,-1.216533512,36.82539135
0110TUQ,Equity,-1.205160946,36.77773386
0110UNA,UNEP/KTTC,-1.238032579,36.80994987
0110VMT,Village Market,-1.23006,36.80399
0110WOJ,Maziwa Junction,-1.193992227,36.90453798
0110WRS,Two Rivers,-1.208241641,36.79728448
01114IA,44 Githurai,-1.19544062,36.90279722
0111A26,Lane 26,-1.202558398,36.76809669
0111AKA,Kwa Nyaga,-1.168398589,36.69651657
0111ALA,Sahala,-1.20683468,36.79277837
0111AMB,Ambassadors Stage,-1.19859,36.75619
0111AMK,Kwa Mbao,-1.170485347,36.70516402
0111ARD,Kwa Daktari,-1.184670389,36.73256814
0111AWM,Maziwa,-1.193209022,36.90509319
0111AXM,Maxx,-1.181895465,36.72843486
0111AYS,Gitambaya Police Post,-1.149767965,36.94896609
0111BEK,Belgian Embassy/Karura,-1.24701,36.8156
0111BPY,Bypass,-1.205770969,36.77934051
0111BUK,Kabuku Stage,-1.154742,36.674973
0111CEP,PCEA,-1.189026296,36.7375356
0111CNT,Container,-1.197221607,36.89955175
0111EDH,The Dam,-1.170045465,36.70123726
0111EED,Ndenderu,-1.192216605,36.74356252
0111ENP,Dispenser,-1.190345943,36.73904836
0111EYE,Membley,-1.156393021,36.92510515
0111FRM,Muguku Farm/GD,-1.176554,36.718575
0111GIE,Sovereign,-1.16958949,36.70015901
0111HDE,Shade,-1.193895668,36.74959213
0111HRT,Mothero,-1.166445136,36.69361711
0111IAC,Pa Machiri,-1.172893971,36.71205729
0111ICT,Quickmart,-1.206678271,36.78331017
0111IME,Milele,-1.201035708,36.76265985
0111ISE,Site,-1.178182483,36.72254205
0111JM,JM,-1.188322037,36.90638065
0111KAU,Kianjogu Stage,-1.181209,36.727208
0111KRU,Karura/Runda,-1.22082,36.80136
0111LIS,Emsoil,-1.195987791,36.75258547
0111LON,Joyland,-1.204928756,36.77661002
0111MAO,Mwambao,-1.256381929,36.82609141
0111MCM,Mirai Court/Mifereji,-1.20322,36.77046
0111MIF,Mfereji,-1.203888774,36.77303195
0111MRE,Muthaiga Mini Market,-1.25019908,36.82072967
0111NDS,Ndenderu Stage/Shell,-1.19303,36.74802
0111NMO,Ngomongo,-1.200252503,36.89471304
0111NOI,Kia Njogu,-1.183815926,36.73128337
0111.OJ,O.J.,-1.153206557,36.92035228
0111OJC,Jowac,-1.193359226,36.74874991
0111OLB,OiLibya/2nd Parklands Avenue,-1.26469,36.82432
0111RAU,Quarry,-1.207043856,36.88213885
0111RHK,6th Parklands Avenue/Regal House/Kobil,-1.25777,36.82691
0111RHR,Redhill Road/Polish Embassy,-1.234529614,36.80346429
0111RNI,Container,-1.204575419,36.77539229
0111ROT,Two Rivers,-1.214563251,36.79482222
0111RPS,Ruiru Prisons,-1.151827,36.929292
0111RRY,Fairy Flowers,-1.164890259,36.69146866
0111RST,Ruaka Stage/Tuskys,-1.207146,36.785877
0111SPS,Stima Plaza Stage,-1.2696,36.8204
0111SPU,St. Paul's University Limuru,-1.148257,36.666204
0111TNN,Aga Khan Entrance,-1.26143825,36.82573199
0111TUN,UNEP/Gigiri/KTTC,-1.238681674,36.81054533
0111TVI,Kwa Viti,-1.186836094,36.73504382
0111.UK,K.U.,-1.174814433,36.9143039
0111UKG,Kwa Njogu,-1.192592114,36.74655586
0111USA,Kwa Sukuma,-1.178994834,36.72388852
0111VMA,Village Market,-1.22876,36.80443
0111VWS,Two Rivers,-1.208490729,36.79807305
0111WNA,Kwa Kiwanja,-1.170839399,36.91703171
0111WRB,Kwa Bendera,-1.16908443,36.69846654
0113LMD,Limuru Terminus,-1.108043,36.643534
0212RUS,Ruaka Stage,-1.207161,36.785845
0213MRY,Ruiru,-1.147668958,36.95931673
